algorithm,N,samples,iterations_per_sample,min_ns,p05_ns,median_ns,mean_ns,p95_ns,max_ns,stddev_ns
auto,8,31,12859,76.766778132,77.0062990901,77.776187884,78.3068266483,82.2149856132,85.6095341784,2.00100533705
mixed-radix,8,31,1181,630.130397968,630.872142252,634.717188823,637.680369288,648.230736664,651.983065199,6.52889197156
bluestein,8,31,1214,813.727347611,820.389209226,838.013179572,862.242573205,1005.84143328,1161.36820428,72.2184662664
radix2-iterative,8,31,12585,74.655860151,74.7660309893,76.7821215733,76.9764286721,78.3275327771,84.6515693286,1.73423514787
radix2-recursive,8,31,3549,278.968160045,280.452662722,284.149337842,291.434061389,329.811637081,406.596506058,25.4684156119
dft,8,31,1183,827.9306847,846.204142012,858.475063398,866.491942301,953.023668639,1014.2772612,38.3337874248
auto,16,31,4096,146.980712891,146.984375,148.506347656,148.880953881,152.117797852,154.303466797,1.85504753678
mixed-radix,16,31,628,1563.28980892,1571.0477707,1588.13694268,1605.84692829,1660.15286624,1991.47292994,75.7379297692
bluestein,16,31,565,1703.30442478,1708.75575221,1731.36460177,1812.4253497,2306.32300885,2912.19469027,278.892186641
radix2-iterative,16,31,4096,147.083496094,147.291259766,147.767822266,151.150319745,164.496826172,171.765869141,6.58814149293
radix2-recursive,16,31,1643,605.889227024,606.502434571,615.289105295,620.632890268,656.04899574,665.869141814,16.3995897557
dft,16,31,256,3637.58203125,3646.46289062,3684.95703125,3687.60912298,3776.0703125,3879.03515625,51.2178029613
auto,32,31,3343,299.867484296,300.581812743,303.468142387,303.416450358,307.786718516,309.037391564,2.61133398822
mixed-radix,32,31,256,3820.94140625,3826.12304688,3854.81640625,3870.2578125,3945.63867188,4022.13671875,46.2584429539
bluestein,32,31,256,3555.859375,3558.16796875,3592.515625,3618.03503024,3751.65820312,3967.2890625,82.3741548547
radix2-iterative,32,31,3340,301.49491018,301.556437126,304.286526946,306.62398107,310.901347305,357.419161677,9.79356918699
radix2-recursive,32,31,761,1289.85019711,1297.39750329,1314.47306176,1315.14077402,1334.08081472,1345.0565046,13.0324363691
dft,32,31,63,15071.3968254,15082.1349206,15469.6031746,15805.1817716,18337.1984127,19901.2539683,1157.77809982
auto,64,31,1556,643.196658098,645.208547558,650.791773779,661.754560909,736.709832905,823.663881748,41.8075345492
mixed-radix,64,31,107,9146.18691589,9158.67757009,9284.79439252,9331.41603859,9511.07009346,10865.9252336,298.974780315
bluestein,64,31,130,7615.98461538,7625.27307692,7656.04615385,7689.74987593,7790.43461538,7814.97692308,60.1388869481
radix2-iterative,64,31,1417,641.996471418,644.498588567,648.576570219,651.198237986,662.57057163,668.924488356,6.35847199843
radix2-recursive,64,31,256,2735.03125,2737.10742188,2744.578125,2761.6624244,2803.16015625,2821.95703125,27.688184169
dft,64,31,15,61630.0666667,61650.4333333,62632.9333333,62849.3655914,64023.6,65139.2666667,809.117788041
auto,128,31,706,1412.8470255,1413.13031161,1436.06798867,1456.76633464,1555.7917847,1835.93767705,80.6906518109
mixed-radix,128,31,48,20483.9166667,20501.0208333,20695.7083333,20731.3051075,21072.5,21158.0416667,193.608649719
bluestein,128,31,61,16317.3278689,16338.7377049,16519.4098361,16581.0216816,17377.4016393,17611.704918,318.551512869
radix2-iterative,128,31,703,1413.68990043,1417.55832148,1432.46514936,1447.43651631,1473.50782361,1886.05405405,82.8121091144
radix2-recursive,128,31,173,5740.01156069,5748.52312139,5811.27745665,5797.77456647,5868.58959538,5895.62427746,45.030818854
dft,128,31,3,249700.333333,249752.333333,250578.333333,270063.11828,417183.666667,492046.333333,58487.005894
auto,256,31,198,3122.51010101,3123.72474747,3132.42424242,3181.96106224,3259.22727273,3934.07070707,146.517041727
mixed-radix,256,31,16,45760.375,45794.5,46094,46532.8064516,47403.09375,53361.625,1373.06519284
bluestein,256,31,16,34930.5625,34941.5,35053.875,35400.8326613,36450.96875,38129.6875,698.391132575
radix2-iterative,256,31,256,3121.73828125,3125.31835938,3140.28515625,3174.86000504,3249.11523438,3631.79296875,92.4676423705
radix2-recursive,256,31,81,12100.1604938,12108.4506173,12230.7283951,12463.1007567,13934.617284,15111.5432099,703.570246013
dft,256,31,1,1071149,1073357,1092210,1134640.35484,1377192.5,1821091,146726.412175
auto,512,31,144,6883.26388889,6886.98611111,6970.75694444,6990.48028674,7120.14583333,7643,138.251199414
mixed-radix,512,31,5,102253.6,102379.8,102896.6,104925.174194,107002.7,148780.6,8264.12604853
bluestein,512,31,13,74528.2307692,74530.1538462,75025.0769231,77282.9875931,80195.1153846,129584.538462,9832.64248825
radix2-iterative,512,31,144,6890.22222222,6890.98611111,6992.17361111,7086.99641577,7496.60416667,8956.89583333,379.939665035
radix2-recursive,512,31,39,25392.025641,25408.7051282,25511.9230769,25680.7923904,26083.5641026,27364.9487179,376.199103678
dft,512,31,1,4276382,4283087.5,4341419,4424159.3871,4921875.5,5077631,201410.320025
auto,1009,31,5,159001.8,159061,161741.8,186351.270968,326701.5,439169.4,66222.9795241
mixed-radix,1009,31,1,16750824,16825920.5,17269423,17750128.2581,20084187.5,23347853,1349810.07683
bluestein,1009,31,6,158865.5,158951.666667,160898.666667,162318.048387,166688,202156.5,7728.00049318
dft,1009,31,1,16342648,16399358,16552750,16847932.4194,17539693.5,21511044,927362.208825
auto,1024,31,64,15290.65625,15294.484375,15474.828125,15821.5559476,17798.828125,22527.46875,1479.39288081
mixed-radix,1024,31,4,225552.25,225605.875,228246,236785.870968,283924.875,372715.25,30973.1762731
bluestein,1024,31,6,158700.5,158747.166667,160765,167606.817204,216340.833333,252990.166667,21785.4132222
