algorithm,N,signal,forward_l1,forward_l2,forward_linf,backward_l1,backward_l2,backward_linf,roundtrip_max_abs
auto,509,random,2.22824045933e-14,2.27349169816e-14,2.71908195913e-14,2.12420543172e-14,2.27332277396e-14,3.56770661376e-14,3.5252859097e-14
mixed-radix,509,random,8.15817587071e-14,9.69054985227e-14,1.64577109742e-13,8.94716158829e-14,9.69039151235e-14,1.60237722808e-13,1.35975106001e-13
bluestein,509,random,2.35220003542e-14,2.37157893267e-14,2.17949912309e-14,2.20644699764e-14,2.37116673374e-14,3.88646203053e-14,4.16682936183e-14
rader,509,random,2.22824045933e-14,2.27349169816e-14,2.71908195913e-14,2.12420543172e-14,2.27332277396e-14,3.56770661376e-14,3.5252859097e-14
dft,509,random,8.15817587071e-14,9.69054985227e-14,1.64577109742e-13,8.94716158829e-14,9.69039151235e-14,1.60237722808e-13,1.36047311094e-13
auto,509,tones,9.31522280501e-14,2.07708461721e-14,1.72120646149e-14,1.94569341976e-14,2.07688254778e-14,2.99284414748e-14,6.69548251656e-14
mixed-radix,509,tones,4.40900501412e-13,9.42555740747e-14,5.75045751681e-14,9.09351238695e-14,9.42525567299e-14,1.31108749446e-13,2.84076292038e-13
bluestein,509,tones,5.64331264596e-14,2.35524185161e-14,2.60559999109e-14,2.14908301666e-14,2.35527124804e-14,4.51423473601e-14,9.19749682865e-14
rader,509,tones,9.31522280501e-14,2.07708461721e-14,1.72120646149e-14,1.94569341976e-14,2.07688254778e-14,2.99284414748e-14,6.69548251656e-14
dft,509,tones,4.40900501412e-13,9.42555740747e-14,5.75045751681e-14,9.09351238695e-14,9.42525567299e-14,1.31108749446e-13,2.84026319115e-13
auto,509,impulse,1.76885367916e-14,1.98930278617e-14,5.20455557523e-14,2.09272217243e-13,1.98928793198e-14,1.63751488143e-14,3.7347909149e-14
mixed-radix,509,impulse,3.93670423883e-14,5.52596276377e-14,2.39886124525e-13,8.83822589544e-13,5.52570735613e-14,2.10982299615e-14,2.04810367686e-14
bluestein,509,impulse,2.22699456721e-14,2.49136415585e-14,5.76561219378e-14,1.46280759554e-13,2.49124324932e-14,2.14357119296e-14,4.11039365425e-14
rader,509,impulse,1.76885367916e-14,1.98930278617e-14,5.20455557523e-14,2.09272217243e-13,1.98928793198e-14,1.63751488143e-14,3.7347909149e-14
dft,509,impulse,3.93670423883e-14,5.52596276377e-14,2.39886124525e-13,8.83822589544e-13,5.52570735613e-14,2.10982299615e-14,2.04810367686e-14
auto,509,alternating,5.42169144271e-14,2.44936474002e-14,2.46329773253e-14,2.28904590251e-14,2.44929948493e-14,4.90325095082e-14,8.5830728406e-14
mixed-radix,509,alternating,2.12005961832e-13,8.26165593693e-14,5.60309958385e-14,7.37488111945e-14,8.26156958623e-14,1.88758709391e-13,3.46019069486e-13
bluestein,509,alternating,3.26779453842e-14,2.44861878341e-14,2.09383153874e-14,2.1394803299e-14,2.44839795853e-14,5.67902973272e-14,9.66958171961e-14
rader,509,alternating,5.42169144271e-14,2.44936474002e-14,2.46329773253e-14,2.28904590251e-14,2.44929948493e-14,4.90325095082e-14,8.5830728406e-14
dft,509,alternating,2.12005961832e-13,8.26165593693e-14,5.60309958385e-14,7.37488111945e-14,8.26156958623e-14,1.88758709391e-13,3.46019069486e-13
auto,509,dynamic-range,2.46148188604e-14,2.49533763655e-14,3.14361031544e-14,6.67207643212e-14,2.49559809162e-14,2.60590917452e-14,0.0229613089673
mixed-radix,509,dynamic-range,8.30254237068e-14,9.65487047175e-14,1.76231656811e-13,3.77220023854e-13,9.65485736066e-14,6.16896522148e-14,0.057971101762
bluestein,509,dynamic-range,2.25109227149e-14,2.27031763735e-14,2.95991113851e-14,6.11333474778e-14,2.27059018271e-14,2.59054864805e-14,0.0238938605236
rader,509,dynamic-range,2.46148188604e-14,2.49533763655e-14,3.14361031544e-14,6.67207643212e-14,2.49559809162e-14,2.60590917452e-14,0.0229613089673
dft,509,dynamic-range,8.30254237068e-14,9.65487047175e-14,1.76231656811e-13,3.77220023854e-13,9.65485736066e-14,6.16896522148e-14,0.0579799610926
