session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
0,0,mixed-radix,127,0,4,401757
0,0,mixed-radix,127,1,4,348019.75
0,0,mixed-radix,127,2,4,360235.25
0,0,mixed-radix,127,3,4,378945.75
0,0,mixed-radix,127,4,4,351264.5
0,0,mixed-radix,127,5,4,342393.75
0,0,mixed-radix,127,6,4,335992
0,0,mixed-radix,127,7,4,326688
0,0,mixed-radix,127,8,4,326660.25
0,0,mixed-radix,127,9,4,335548.5
0,0,mixed-radix,127,10,4,341184.5
0,0,mixed-radix,127,11,4,347747
0,0,mixed-radix,127,12,4,335799
0,0,mixed-radix,127,13,4,327091
0,0,mixed-radix,127,14,4,326911
0,0,mixed-radix,127,15,4,359539.25
0,0,mixed-radix,127,16,4,337273.75
0,0,mixed-radix,127,17,4,327033.5
0,0,mixed-radix,127,18,4,390540.25
0,0,mixed-radix,127,19,4,342484
0,0,mixed-radix,127,20,4,326875.75
0,0,mixed-radix,127,21,4,335568.75
0,0,mixed-radix,127,22,4,340703.75
0,0,mixed-radix,127,23,4,326565.25
0,0,mixed-radix,127,24,4,336945.75
0,0,mixed-radix,127,25,4,326595.25
0,0,mixed-radix,127,26,4,326598
0,0,mixed-radix,127,27,4,334254.25
0,0,mixed-radix,127,28,4,326395
0,0,mixed-radix,127,29,4,326725.5
0,0,mixed-radix,127,30,4,332474
0,1,dft,127,0,8,276439.625
0,1,dft,127,1,8,252942.125
0,1,dft,127,2,8,261305.75
0,1,dft,127,3,8,246734.125
0,1,dft,127,4,8,256692.75
0,1,dft,127,5,8,248304
0,1,dft,127,6,8,250797.625
0,1,dft,127,7,8,246736.75
0,1,dft,127,8,8,249832.5
0,1,dft,127,9,8,247452.75
0,1,dft,127,10,8,250343.25
0,1,dft,127,11,8,246786.75
0,1,dft,127,12,8,251308.5
0,1,dft,127,13,8,246944.5
0,1,dft,127,14,8,253784.625
0,1,dft,127,15,8,246838.125
0,1,dft,127,16,8,250909.125
0,1,dft,127,17,8,246880.625
